country,ratingScore,reviewDescription,reviewTitle,Model,Core
United States,5,"Works great in my new system. I wouldn't say easy to install, but none are, I always sweat bullets when I latch down the CPU holder. But other than that stable and powerful. Here's my build, rock stable and fast as hell!Logitech G502 HERO High Performance Wired Gaming MouseLogitech G910 Orion Spectrum RGB Wired Mechanical Gaming KeyboardExternal DVD Drive, USB 3.0 Portable CD/DVD +/-RW Drive/DVD PlayerCooler Master SickleFlow 120 V2 ARGB 3in1 Square Frame FanCooler Master MasterFan SF360R ARGB 360mm All-In-One Square Frame Fan w/ 24 Independently-Controlled ARGB LEDSASUS ROG Strix Z690-E Gaming WiFi 6E LGA 1700(Intel 12th Gen)ATX gaming motherboardCooler Master Hyper 212 Black Edition CPU Air CoolorCylewet 10Pcs Mainboard Computer PC Internal Speaker Buzzer Computer Case BuzzerIntel Core i9-12900K Desktop Processor 16 (8P+8E) Cores up to 5.2 GHz UnlockedSAMSUNG 870 EVO SATA III SSD 1TB 2.5” Internal Solid State Hard DriveCooler Master MasterBox TD500 Mesh Airflow ATX Mid-Tower with Polygonal Mesh Front Panel, Crystalline Tempered GlassCorsair Vengeance DDR5 64GB (2x32GB) 5200MHz C40 Intel Optimized Desktop MemoryCorsair RMX Series (2021), RM1000x, 1000 Watt, Gold, Fully Modular Power Supply,BlackSAMSUNG 980 SSD 1TB PCle 3.0x4, NVMe M.2 2280, Internal Solid State Drive",Sweet!,i9 12th Gen,i9
Canada,5,Just a quick swap from a I5 to this on a 660 moboNoticed a difference right away in cities skylines 2That's all I needed,Speedy,i9 12th Gen,i9
Canada,5,Merci,Merci,i9 12th Gen,i9
Canada,5,"Faster Read, Write speeds than I-7. Easy Install. I recommend a Liquid cooler if you Overclock--otherwise the revved Fan noise will irritate you.I returned one -new unopened because the Motherboard I ordered for it arrived Damaged.",Great Product- Bought 2.,i9 12th Gen,i9
United States,5,"Had a 11900K prior to this one, and as fast as it was even being overclocked to 5.3 ghz - the 12900K is just simply better. Put a minor overclock to 5.2 ghz and it's been so nice. P cores are freed up to do what they're supposed to do. E cores do the chores! Was hot at first before undervolting, but now that's done and temps are high 70s with a 360 mm Corsair AIO. Paired up with a Z690 from MSI and a RTX 3090 it's just the perfect combo. 12900K is completely free to do the data processing for the game, and 3090 handles the graphics side in all my triple A titles without needing to borrow from the system memory at all - needing to pull data through the processor. Resizable bar enabled and it's been awesome. Was worth every penny.",i9-12900K an excellent buy it！！,i9 12th Gen,i9
United States,5,I was going to go for the 13900k but I took this one for half of the price and have to tell u love it thank you,Love it,i9 12th Gen,i9
United States,5,It's been less then 24hrs since I upgraded from an i7-8700 and could instantly tell a difference in performance. Haven't had the need to overclock since it handles streaming on twitch/kick with obs while playing games on the same PC very nicely at stock settings.,Upgraded from i7-8700,i9 12th Gen,i9
United States,5,Fast shipping and great product,Exactly as described,i9 12th Gen,i9
United States,5,"many cores, able to run multiple virtual machines with unnoticeable slowdown to other functions. Stays at 1-3% when playing games paired with a  3070. May upgrade to 13th gen later, but i really can't complain in terms of performance. Only have a dualfan/dual heatsink cpu cooler and it stays below 60 celsius at all times. Rests at about 30.",Powerfu and Fast,i9 12th Gen,i9
United States,5,This CPU is power hungry under load but in games the CPU is fast. This also works fine for workstation workloads but this shines in gaming for sure. Also if you have the cooling this CPU can be clocked even higher for better performance. But for this you will need a decent CPU cooler.,Great CPU,i9 12th Gen,i9
United States,5,great price easy to install,cpu,i9 12th Gen,i9
United States,5,Good,12 gen,i9 12th Gen,i9
United States,5,"Now has a thin film over it. Don’t know how it receives electricity and signal from the socket on the motherboard, probably similar to wireless charging, but at least it protects the pins so less likely to damage them while handling the CPU during the build. After all CPU is the most or second mot expensive component in a PC build.Other than that, the increase in core count and speed, couple with gen 4 SSD and RTX 3090 ti, everything else is just slow",The connector pins under the chip,i9 12th Gen,i9
United States,5,"Received at least a week earlier than the scheduled assessment for delivery.Not installed yet but if you look at video reviews I'm sure you know this processor is going to preform when you need it as a creator.At the moment I'm still using a 2010 year,  i7  that endured the test of time in a properly built computer.Now it's time for the i9 12900K LGA1700 creator build computer to handle photography & video production in 2022.",It comes in a pretty box too.,i9 12th Gen,i9
United States,2,Genuinely not someone who leaves reviews but $500 and it gets packaged like this? The cpu box itself is fine but the case isn’t even in the box anymore bc it fell out to due crap packing,Worst packaging ever,i9 12th Gen,i9
Canada,2,Everything seemed okay until I placed the chip on my motherboard; something seemed wrong. A Pentium of some sort was substituted and my motherboard damaged. Amazon replaced and I am waiting for a refund on the board. Who would have thought?,Fraudulent Substitution,i9 12th Gen,i9
India,1,Product is good Price is high wait for prices to go down dont buy overpriced products. It's gives seller more power over us.,Overpriced. Should be around 55-58 even with 18%GST.,i9 12th Gen,i9
Australia,1,"Broken, just found out. Missed return window by 3 days",Broken cpu,i9 12th Gen,i9
United States,1,"I've put together a few systems and run some retail 12900k chips so far and the 12900k is by far an amazingly fast CPU.Unfortunately this one I ordered from Amazon came already opened. As soon as I opened the shipping box I could tell it had been opened before. The edge was uneven and the label crease was loose. I put my X-acto Knife down (which is what you need or something similar to open these as the label is there for a reason) and with just the gentlest of pressure the label peeled away from the center where someone oh so nicely had finely cut the label horizontal to make it easy to fold one side back over the other and with just a quick once over it looked almost normal.If I hadn't opened a few of them already with Intel's fancy new packaging I probably would not have noticed but the way the packaging normally is, it is VERY precise, tight, even lines and you will not be easily or gently opening it up with a simple light finger pry.My biggest fear was there wasn't going to be a CPU in there at all but luckily the right CPU was in there that matched the container batch but if something is sold as new I don't do open boxes.Make sure to check your packages before opening. The seal should be nice and tight and straight. The edges of the back flap should be firm and secure against the other flap and the bottom line/edges should be even and exacting.Give a gentle pull on each corner of the box where the label keeps it sealed to make sure it hasn't been altered or tampered with. It should be VERY firm and unable to just pull open easily. Look at the condition of the box itself around that area and even the gold disk inside.Fresh, brand new i9 12900k's are very pristine and boxed with precision.Still, they are fantastic processors overall and a worthy upgrade from 10th and 11th gen.",Unit was previously opened....,i9 12th Gen,i9
United States,1,"Upgraded from a i9-9900k. Using windows 11 I can absolutely say this system is soooo much slower. I work in Adobe programs. Their responsiveness and general speed is so painful. I'm considering going back to my old rig, or going back to window 10. have 64gb RAM + RTX 3090 + 980 NVME 512gb in RAID0. Never has having the latest felt like a significant step back.",This generation needs alot of software and driver updates - SLOWER,i9 12th Gen,i9
United States,1,As other mentioned there was something off with these chips.This was a new build.I have no video - i've swapped RAM and the motherboardI get no errors on the mother board - there are lite for errorsNO GO - far too much time and money wasted of this - I am returning the processor and ordering elsewhere,No video,i9 12th Gen,i9
United States,1,i purchased this item then waited about a week for it.  when it got here it was ***NOT*** the item i purchased but a lobotomized version of it with no integrated graphics.  I purchased the advertised item SPECIFICALLY because it had integrated graphics.  the item i received requires discrete graphics.ABSOLUTE BS and UTTERLY unacceptable.,SCAM,i9 12th Gen,i9
United States,1,If you get this processor it has high temps problems if you look it up you see online that it cant handle top of the line liquid coolers bought intel i9-12900ks works like a champ no high temp problems the best one out there!,Overheats,i9 12th Gen,i9
United States,1,"Received the product, everything on the packaging said i9-12900k. But the processor inside the case was a celeron G6900.. Make sure you check the chip that you receive when purchasing.",Be Cautious,i9 12th Gen,i9
Canada,5,This CPU has been put into my Unraid server so I could take advantage of the onboard video for Plex.  My previous AMD system I need a discrete graphics card to do the same thing.  This new CPU worked perfectly for my use case.,Upgraded my Unraid Server from an AMD CPU,i9 12th Gen,i9
Japan,5,Very good,Very good,i9 12th Gen,i9
United States,5,"This isn't the processor for everyone, but it is very fast. The individual cores aren't significantly different from those in the 13th generation i7. But if you have a need for a lot of parallel processing then this may be the processor for you. I do software development, which it doesn't help 99% of the time, gaming, which it helps a little, and occasionally transcoding large amounts of video and music. During transcoding it helps a huge amount. I have over 300GB of FLAC audio files that I ripped from my CD collection, I never buy mp3s. I wanted to have that on my phone, but I didn't want to carry it at full rate because I can't tell the difference in the car, so I transcoded it. I had done that once before and it took more than a day on a five year old Ryzen 7. This machine took around 30 minutes. 30-40 times faster. At work the optics team, which uses ray tracing software to design optical telescopes and laser focusing lenses, uses i9s in preference to Xeons. The Xeons might be faster under some circumstances, but the machines are hugely expensive, so the i9s are much better for price performance. Would I buy it again? I'd probably buy the 13th generation, but if I had any sense I'd just get the 13th gen i7.",Not necessary for everyone,i9 12th Gen,i9
Canada,5,"It's not the latest gen but an overclocked I9 12th gen is more than enough for almost any gaming.  Overclocked it does demand some serious cooling, but anyone who overclocks would expect that.",More than enough power at a reasonable price,i9 12th Gen,i9
United States,1,I connected my i9 12900k but the computer detects this as Celeron G6900 with 2 cores... Is this a scam? I need a solution,Needing support!,i9 12th Gen,i9
United States,1,Memory controller was not ok,Did not work with DDR4 faster then 3000mhz,i9 12th Gen,i9
United States,1,You would expect when you buy the highest quality product from intel they would at least tell you how to orient it into the motherboard.,Zero documentation,i9 12th Gen,i9
United States,1,"It didn’t work and returned it, haven’t been reimbursed after several weeks","Didn’t work, returned it to sender and haven’t been refunded",i9 12th Gen,i9
United States,1,"For what you spend, I would expect a cpu that hasn’t been opened. Not receiving a returned product.",Box had been previously been opened,i9 12th Gen,i9
United States,1,It didn't work good i returned it but still haven't received my refund yet,I didn't recieve the correct item,i9 12th Gen,i9
United States,4,"This thing is an absolute beast of an CPU over colock is not recommended, with the power draw",Power House CPU,i9 12th Gen,i9
United States,4,"Love the box, but the performance in gaming is not as i expect!",Verry good processor,i9 12th Gen,i9
Canada,5,"I've only had it about a month, but so far it is complete overkill for gaming... I haven't seen it go above 50% pushing it as hard as I can other than stress testing lol. I bought it so hopefully in 10 years it can still do some stuff hahaha.",Thing is pretty nuts,i9 12th Gen,i9
United States,5,"So far this thing is great! I upgraded from the 9900K and this has been a noticeable difference. I'm still in the process of updating drivers and reinstalling some software. I haven't done any overclocking so the Cinebench score and temps are straight stock settings.After seeing all the info on how hot this thing can get I added the Thermalright contact frame. It was a breeze to install. I watched the Gamer's Nexus video about this frame and followed their directions.For the motherboard I went with a MSI Z690 MPG Edge Wifi DDR4 so I could reuse my current RAM. I had to order a LGA 1700 bracket for the NZXT Kraken X73 AIO. I ordered both the frame and the LGA 1700 mount from Amazon and both arrived fast and were exactly what I needed.So far my temps are staying in the general range of my 9900K. I'm planning to do a little gaming this week with it so I'll have a chance to see how it does under my daily use. I also do a bit of Premiere and After Effects so I'm looking forward to seeing how it works there as well.Overall, this is probably way more processor than I NEED. I was still able to do what I needed to do with the 9900K. I built the 9900K in 2020 during the height of the astronomically high PC price wave. I ended up getting this processor for about $100 less than I paid for the 9900K two years ago. So the price-to-performance upgrade for me was a no brainer.If you want a fast processor at a reasonably decent price, this is a great one to get. Just be aware you will need to pay attention to your cooling.",Great Upgrade from 9900K,i9 12th Gen,i9
United States,5,"It took me less than 15 minutes to take out my current 1700 series CPU (i7 12700K) and add in this new one.  Removed the AIO cooler, cleaned off the thermal paste, applied new past after inserting and wala' it's up and running like a champ.  I'm not a gamer, so yes I understand it's not a huge bump in performance for those applications. Video Editing is another story.","With the new price, this item (New CPU) is now a value",i9 12th Gen,i9
United States,5,"Are usually go for the best products and it was a mistake for my first PC build I chose this chip and I didn’t know it runs that hot I built my PC I had enough fans but I had a 240 mm radiator I want a Micro Center and had to get a 360 mm cooler from the pool. The temps were at 89 to 92°C after the deep cool AIO under stress, test and bench testing the temp stay under 60°C , other than that I game hard on it and stream and the CPU usage never goes past 30%. It’s pretty overkill but that’s how I like my PC.",Be careful,i9 12th Gen,i9
United States,5,"Purchased this for my new rig as opposed to an i7 based on price point at time of purchase (this was actually cheaper than the i7).Paired with RTX 4060TI 8GB.NO regrets.This can handle anything I throw at it, without issue (gaming wise) and never goes above 50/55C (not overclocked and cooled with 240MM AIO from Corsair) Idles around 32/33CVery responsive with plenty of clearance if I ever want to OC this guy.Heat was a concern after reading reviews and only having a 240MM radiator (sitting over a 4060Ti), but no issues - heat or performance) at all.Great time to buy with new gen just arriving recently.",12th Gen Top Tier,i9 12th Gen,i9
United States,5,If someone ever asks you 'what is a GPU bottleneck' buy them a 12900k lmao.It's so good.,Beautiful technology.,i9 12th Gen,i9
United States,5,"Purchased this CPU to finally upgrade my tired 8086k that I have had for close to 4 years now, and considering I also own a 3090 I was lucky enough to get last year, it was time. Paired with said gpu and a MSI Tomahawk Z690 with a Noctua NH-D15 Chromax Black cooler, this cpu runs complete marathons around my old 8086k. Certain games that would fully saturate my 8086k while also getting notifications from something like Discord would introduce very bad stutter, however those are completely eliminated with the 12900k. Temps are high when Im doing full resolution photo renders from my DJI Air 2S or Sony a6400 or straight up benchmarking, but that is expected and I'm not one to sweat about 80-90c temps, but if you are I would recommend the 12700k/5900x as they both run cooler and draw less wattage. However in gaming with multiple different Firefox tabs and discord/telegram open, it never even touches 70c, so your experience may vary depending on what type of work load you are doing. Make sure that if you do have a high powered gpu that you also have a high output power supply with a high efficiency rating as well, as my system can suck north of 600-750w full tilt (my power supply being a 1200w platinum EVGA that doesnt break a sweat under full load).",Amazing CPU,i9 12th Gen,i9
United States,5,"I love the Intel i9 unlocked processor. I have always used Intel and will continue to do so. All of my games operate smoothly, the graphics are amazing used with the correct moniter and Gpu. In my opinion Intel beats Ryzen hands down.",Great Performance!,i9 12th Gen,i9
United States,5,"the CPU run fast and stays cool, the performance was great ,test run at 5.2Ghz the temperature not over heat.run with my  solidworks software that cpu was great.",Powerful CPU,i9 12th Gen,i9
United States,5,Really really great product. Very fast! Just make sure you have sufficient cooling for this beast as it’s a hot one,This Processor is amazing!!!,i9 12th Gen,i9
United States,5,nice match,good item,i9 12th Gen,i9
United States,5,"Good ole Intel, simple install, reliable CPUGood performance increase over my previous CPU. Packaging is a little bling, could be half the size, which would make for cheaper packaging and lower courier costs.",i9 12900K upgrade from i9900K,i9 12th Gen,i9
United States,5,this will definitely take me through at least four years - great processor for my new build,beast of a processor,i9 12th Gen,i9
United States,5,I had  high hopes for this sucker and it delivers.Ya gotta water cool it  it runs hot~!!!,It is  what I expected.,i9 12th Gen,i9
United States,5,"High price, but high performance. Great processor but needs a serious cooler otherwise it will thermal cutback and slow down.",Great value,i9 12th Gen,i9
United States,5,This is a good product,This is a good product,i9 12th Gen,i9
United States,5,If you want the best. Get a i9 Intel CPU. For my music production it's a dream come true,I wanted the best,i9 12th Gen,i9
United States,5,One of the best CPU’s on the market! Super pleased to get it with the motherboard bundle,Blazing fast,i9 12th Gen,i9
Australia,5,Item arrived from Germany to Australia in reasonable time.Parcel required signature on delivery.Packaging adequate to protect the goods.,Genuine intel cpu,i9 13th Gen,i9
Sweden,5,"It does the job, but it does get hot. Running Blender at 100% CPU is going to make a lot of heat, even with a big radiator.",A beast that generates heat.,i9 13th Gen,i9
