country,ratingScore,reviewDescription,reviewTitle,Model,Langauge
United Kingdom,5,"A complete beast of a processor, with a 360 aio it idles around 30C in my Corsair 7000D airflow, don't listen to the rubbish about it running at 100C all the time, that only happens when benchmarking, as it destroys benchmarks",A beast,i9 13th Gen,en
Italy,5,ok,ok,i9 13th Gen,en
United Kingdom,1,"Dont buy this CPU you'll run into numerous BSOD, applications crashing, games closing without warning.Seller refused RMA even though the issues I mentioned have been happening since day 1.Returned to Intel (Took 2 weeks to arrange, a LOT of hassle) and received a replacement after a day = no more issues.",CPU arrived faulty.,i9 13th Gen,en
Germany,1,NOT working says memory missing and cant launch any games even after i reset the pc.  after  bit of research online alot people experiencing the same issues,not working,i9 13th Gen,en
United Kingdom,1,worked fine for 5-6 months then broke down,faulty cpu,i9 13th Gen,en
Germany,1,Selling a 3GHz tras as 5.8GHz for the same price as the newest 6GHz i9🤬😡,Scam,i9 13th Gen,en
United Kingdom,1,"CPU arrived in packaging seal but the CPU is clearly used, not only that, the CPU itself has been delidded and replaced with Intel Celeron G6900. I did some troubleshooting including updating BIOS to the latest version, uninstalling the processor devices from device manager. But all evidence point to this being a scam!",Beware of Scam!,i9 13th Gen,en
United Kingdom,5,"CPU working just as it should be. People's main concern with this product is obviously the temps. To reassure people, and from a VFX artist's perspective, my temperatures are respectable. I have the Corsair H170I ELITE CAPELLIX 420 mm AIO attached to it. When running tasks like having Opera open with even 30 tabs, Spotify, file browser and settings all open at the same time, my temps max at 34 degrees Celsius. When I'm in Unreal engine it never goes above 45 (but yes it is mainly GPU real-time rendering). it will use around 10 % of the CPU still however. in Cinema 4d viewport it will never go above 34c, when rendering a 4k 3d scene it ranges from 70-86 degrees Celsius max. whatever software I'm using whether it's Adobe software, c4d, unreal, Houdini, Davinci, it will never hit over 90c.Installation was absolutely fine and considering this was the first ever system I've built, so it demonstrates how easy it was to put into the motherboard if you just follow instructions to a tee. The H170I also comes with pre-applied thermal paste so I didn't even have to worry about that which was a bonus. and it's obviously doing its job at transferring all that heat.My clock and boost speeds are normal too.my PC specs FYImsi meg ace z7904090 suprim xi9 13900kH170I cosair AIO",Working perfectly,i9 13th Gen,en
Spain,5,Excelente,Excelente,i9 13th Gen,en
United Kingdom,5,"Came in great condition, fragile box so never any damage and works like a dream that will definitely last me for years",Top of the line,i9 13th Gen,en
Spain,5,Ok,Ok,i9 13th Gen,en
United Kingdom,5,The package came exactly as expected and the installation was painless. It holds up well with 3d modelling and rendering which is primarily what I use my computer for.,As advertised,i9 13th Gen,en
Germany,5,"Ok I have gone from 11900k to this BEAST and believed or not this CPU, combined with Maximus Apex, TridenZ 7600Mhz and Arctic Freezer II 360 push-pull with Noctua Industrial PPC, contact frame and Thermal Grizzly thermal paste 2.5 times faster than 11900k.Cinebench R23 did hit 40k score! Some people get this score with 13900KS which is also overclocked!This is really big jump from my previous setup and it's only 2 generations apart.This is totally worth upgrade, and if you play FPS games, like PUBG, you will be amazed!Like I play PUBG in 2k res. with ROG Strix 3080  v2, I get all game between 250 and 500 FPS depending on situation, while before I was in the range sometimes 85 FPS and sometimes 300 FPS, but with 13900k never gone down below 250FPS. My monitor is ROG 240Hz 27' 2k.You will not regret if you buy this CPU!",Still the BEAST!,i9 13th Gen,en
United Kingdom,5,"Despite long delivery distance, came in perfect condition. It is one powerhouse of a cpu, only thing to bear in mind is that it does run pretty hot",Great processer,i9 13th Gen,en
Germany,5,"intel shocked us all with this one! I am an AMD fan for sure but this CPU brought me back to the intel platform. This thing is amazing. Fast, cooler than rivals, and an amazing over-clocker for those who like to do so. I ran extremely demanding games and applications ... this thing was just cruising at 29C!! Highly recommended!!",What a beast!!,i9 13th Gen,en
Germany,5,Everything is good,Needs a good cooling,i9 13th Gen,en
United Kingdom,5,Very promp delivery impressed with the product,High end processor,i9 13th Gen,en
United Kingdom,5,"I upgraded to this from an I7-4790K and while i was pleased with this I am even more impressed with it once installed. Happy with it but I will note that it does get hotter than my previous I7, the i9 can be tamed with a decent (not over the top) AIO despite the media screaming its head off that this is a volcano.",Lightning Speed,i9 13th Gen,en
United Kingdom,5,"Used this for a self build PC, was easy to fit as had clear instructions. Good price on Amazon compared to other websites",Clear instructions,i9 13th Gen,en
United Kingdom,5,"Upgraded from 9900k to 13900k and I’m very happy with my decision. As much as I loved my 9900k, unfortunately it was dragging my RTX 4080 down and was getting bottlenecked. Keep in mind this is a HOT cpu though. I thought my 9900k was already hot but after installing 13900k, it’s definitely running about 10c hotter on my 360 AIO. I still haven’t touched the manual overclock as this cpu auto boosts to 5.5ghz",Pure power,i9 13th Gen,en
