country,ratingScore,reviewDescription,reviewTitle,variant,Langauge,Model
United States,1,"UPDATE: Been at this for days and days. Intel core i9-14900k on ASUS z790 Strix is a BSOD MACHINE. Previouslyit would run for many minutes. Now it barely goes one ir two minutes before freezing and a BSOD. Now I'm doing ASUS BIOS MemTest86 so far so good (for the RAM).While Windows 11 Pro was working I did the Memory Diagnostics and it said it passed. So either the CPU or the Motherboard is bad.New ASUS Z790 Strix, with new Intel i9-14900k, with new T700 2TB Gen5 PCIE 5 NVME M2, and new 64GB DDR5 6400 RAM, with Runs Windows 11 Pro. All drivers up and Windows are up to date.I've not done any overclocking or XMP in the bios to push the RAM 4000Mhz to the advertised 6400. I avoided buying RAM that can go 8000Mhz with XMP because there are so very many failures with those--and I wanted 8000 because I wanted a system with no bottlenecks as much as possible.Runs great for about 5 to 30 minutes. Temps run from 30s to 50s to high 80s bouncing up and down like normal. Then BOOM BSODs.I will do tests including memory, cpu, and double check drivers.Most websites point to a CPU issue. Some mention RAM or drivers.I'm either going to solve this issue or return this i9-14900 CPU and replace it with an i9-13900.I hope to remember this review and update it with success info.",UPDATED: BSOD CPU: CLOCK_WATCHDOG_TIMEOUT,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,1,"Where do I begin... In between the stability issues this causes, the blue screens of death, the fact that you can't run even Minesweeper due to the problems this processor causes, the ""lack of video resources"" not caused by the GPU but rather by the CPU, the constant need for undervolting of a so-called high end chip, the overheating of the processor, the fact that Intel stayed quiet about this and STILL hasn't taken any action so far, that so many customers have been forced to ask for returns, or the fact that this was hushed for so long that it'll be a miracle to get a refund... Disappointment is still too light a term to refer to what went on with these processors. Honestly, this already falls within a product recall territory, and it's both a scam and an insult to every potential customer out there.",AVOID THIS PROCESSOR AT ALL COSTS / 13th/14th gen Intel i7-i9 issues,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,"Decided to go Intel over AMD and this cpu will not disappoint you. I’d recommend looking into the E-Core and Pcore information before you buy, haven’t noticed any issue with it but still a nuisance",Great CPU,Pattern Name: ProcessorStyle Name: Core™ i9-14900KF,en,i9 14th Gen
United States,5,"Awesome CPU thing can handle anything and everything for at least my needs as a gamer, and programmer! HIGHLY SUGGEST getting a 360 AIO or a custom water loop, and a CPU bracket if you are getting this CPU. It run's very hot getting a CPU bracket cut down my temps about 5-10 degrees. I'm not sure how good air coolers are for this CPU but I've seen a lot of people not suggest it. I use a 360 AIO Loop and it works great at keeping this thing cool!","Runs hot, get a good cooler!",Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,PERFECT!  EASIER to install than I thought as a first time processor install for me.WORTH WHILE performance increase from my (also good 12700). And helped unleash the power of my 4090oc GPU.,Ultimate with 4090oc.,Pattern Name: ProcessorStyle Name: Core™ i9-14900KF,en,i9 14th Gen
United States,5,"It's a Raptor Lake refresh CPU. If you have a 13900K you don't need this. Unless you are an extreme over clocker or need every possible MHZ per thread and stability. If you have a 13900KS you really don't need this CPU.If you have a 12th Gen, it might be worth it to you if you need that extra performance but really depends on what you do.If you are on 11th Gen or below and were looking to upgrade, you might as well get a 14700K or 14900K or KF as they are similarly priced with the 13th gen processors.Also, the 14700K has a 4 more E cores and higher clock speeds which can result in 10-20% performance gains depending on the workload compared to the 13700K.Otherwise wait for the next generation of CPUs to make the leap.","Rock stable, Fast clock speeds, basically like buying the silicon lottery for a 13900K/KS",Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,Upgraded from a 13700k and it is noticeably faster but not a huge upgrade.  Only went with the 14900k as it will be the last CPU I will need to buy for at least 3 years.,Pretty good CPU but gets hot.,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,"Intel has always worked better for me than competition. I feel like reviewers benchmarks may not be realistic to a typical PC setup. I'm getting 620Fps at 1440P in Rainbow Six Siege on a 4090 ROG Strix OC. Yes at this framerate my fans do spin fast and are loud, but I limit the frames to 143 and then it is quiet and the fans hardly spin.Case: Corsair 4000DGPU : Asus ROG STRIX 4090 OCCPU : Intel Core i9-14900KPSU : MSI MPG A1000G PCIE 5 ATX 3.0Cooler : ARCTIC Liquid Freezer II 280Fans : 4x Antec PF12 SeriesStorage : 2X SAMSUNG 990 PRO SSD 4TB  870 EVO 4TB 2.5 InchMemory : 64GB 2x32 Corsair Vengeance 5600MHz CL40 XMPNote: I would not recommend the cooler for this case and MB combo Heatsink on MB blocks cooler which doesn't properly screw in totally.",Can't argue with results,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,4,"I built 3 systems using 14900 series. They all had serious stability problems when in use.  After researching for weeks and reinstalling OS with no better result.  I finally disabled overclocking ""AI overclocking"", which was running as high as 1.6v.  I also found a BIOS setting after running some tools and set it INTEL FAIL SAFE.  this allowed me to run the AVX2 stress test successfully.  It basically throttles the chip.I can't tell you the frustration this caused figuring this out.  Everything from chrome browsers to Adobe CS would crash randomly for no apparent reason every few minutes while all ""tests"" showed it was fine.  I lowered my refresh rate to 60 from 120, killed AI overclocking and set the INTEL setting and now have a very stable system. It outperforms my 5950x when encoding, which is impressive.  It does run HOT even with water cooling.  IF I had it to do over again, I would avoid 13000 and 14000 chips as there is a OODLE issue as well when it comes to gaming with Unreal 5.  Basically an unfixable hardware flaw that affects some chips.Here's the thing, you will not notice a difference as nothing I use with the exception of HANDBRAKE, ever comes close to maxing out the chip when in use.  Adobe CS uses my 3080ti and the intel quicksync iGPU simultaneously which rarely went above 40%, and usually was around 15-20 when editing.  HW encodes for HD were at 350fps, software, 250, intel 300.  So a small advantage in Adobe CS is why I went with the 14900K vs KF.System was using ""AI overclocking"" pushing it to 6.2 roughly single core.  Disabled in BIOS now.Specs: Asus z290a Wifi II, Corsair 96GB DDR5 5600, Samsung 990 Pro, CPU Water cooled, 3080tiSo the ""K"" is basically useless for me at this point and don't see myself doing it manually as it's just not worth it to me.  That said, when stable, it's a very capable chip.","Fast, but unstable when overclocked.",Pattern Name: ProcessorStyle Name: Core™ i9-14900KF,en,i9 14th Gen
United States,4,As a Gamer/Data Scientist/Programmer/Tinker I wanted a mainstream CPU built by a well established company. With Intel's i9-14900K CPU I have a top of the line general purpose chip which provides above average performance in all the computational fields I have an interest in. I only gave it a 4-star rating because I had hoped that Intel would have brought the 15th generation chips out in 2023 Q4 as they said rather than just the mobile chips.,Excellent performance for general purpose use,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,4,"I built PC with the new Intel i9-14900k, and I must say, it's a beast of a processor. Coming from an i7-8700k, the performance boost is nothing short of incredible. Multitasking, gaming, and content creation have all seen a significant improvement. Multithreaded applications and gaming experiences run smoother.  It's a productivity powerhouse. The clock speeds are no slouch either, making it excellent for single-threaded tasks and gaming. The major downside of this CPU is the heat it generates. Even with a high-end cooling solution, it tends to run hot, and that's something you must take into consideration when setting up your cooling solution. Be ready for this CPU to draw a significant amount of power at full load. It can put quite a load on your power supply and might necessitate an upgrade if you're not already prepared. The Intel i9-14900k is an incredible processor, and the upgrade from an i7-8700k is substantial. Its exceptional performance in various tasks justifies its price tag. If you're willing to address these challenges, you'll be rewarded with a fantastic computing experience.",A Monster CPU with One Major Caveat,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,Great performance. Lots of heat.,Great performance. Lots of heat,Pattern Name: ProcessorStyle Name: Core™ i9-14900KF,en,i9 14th Gen
United States,5,I build it my new editing PC and use this 14th generation processor (24 cores and 32 threads).,Great Processor!,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,Runs at a good temp with a kraken 360 elite.,I like it.,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,"I like the CPU because of the speed and easy install with no problems.  I use two 140 Cooler Master radiator fans to keep the unit cool. I totally rebuilt my computer with a Asus Rog 790Z board, 5 M.2  drives. I get a total boot up in 15 Seconds. I use the unit for Data, Video and music.  I've used intel chips and Asus Boards for over 30 years and never had a problem.  With this package I get instant access to all my files. Very happy with my purchase.",Intel has made a really fast CPU,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,"I had a minor hiccup with my new 14900KF, but I contacted Intel and their customer service was fantastic. They sent me a new one and it's working great now. This thing is like a buzz saw in gaming. I have a negative offset on the voltage of -0.0500v and the hottest I've seen it get was 62c while playing Horizon Zero Dawn maxed at 4K. It was getting as high as 190 FPS every now and then. This CPU is brutal man. Top flight customer service too.",Excellent,Pattern Name: ProcessorStyle Name: Core™ i9-14900KF,en,i9 14th Gen
United States,5,"Does as intended. Topped the stock benchmark stats. It's a heater but the I9s are the top performs. Recommend no smaller than a 360 cooler, I went Artic due to the increased width of their radiator core. Top temp (tuned) 95c but will play most games in the 65c range. VR put a greater heat of 91c max but the flight sim was beautiful and smooth as can be with water takeoffs and landings. This was an upgrade to a 12700kf that I chose awaiting the 14 generation processors. I have this combined with a Nvidea 4080 on a MSI z690 board with 64gb ddr4.  Smooth gaming.",Performs!,Pattern Name: ProcessorStyle Name: Core™ i9-14900KF,en,i9 14th Gen
United States,5,"A lot of people are upset with the 14900k because of the minimal performance leap thar came between it and the 13900k. I say who cares. If you have a 13900k, don't upgrade, but if you have an older PC or 12th Gen, this is a worthy upgrade. I absolutely love mine. It's a monster of a CPU.I honestly don't recommend air cooling it. It can get pretty hot and there are only a small handful of air coolers that can handle this 14900k without setting power limits (which most people don't know how to do, let alone even know what that means)If you're not doing a custom water loop to cool your 14900k, I recommend you do what I've done to cool mine, you dont neeeed to, but it helps. I have an AIO (All-In-One Cooler) and I setup a push-pull configuration on my radiator. That means I have 3 fans on the bottom blowing in through the radiator, and 3 more fans blowing up and out of the case. Both are blowing upward. It creates more airflow. One side is pushing the air, the other side is helping pull that air through. Then I got a thermalright contact frame. Any LGA 1700 contact frame should work but the thermalright version is cheap. It might say 12th/13th Gen but it will also work on 14th Gen. So get an AIO, setup a push-pull fan configuration and get a contact frame. It's helping my Temps significantly. I typically stay in the high 50's or low 60's during 4K gaming. This CPU draws a ton of power so you might see it bump up to 80⁰ occasionally, for a very brief moment. (Maybe 1 second or less)",It's the perfect fit for this monster PC I just built.,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,"I'm not going to go over the same performance reviews others have done, yes its very fast for only $550 its the king of the poor mans build PC. my last PC its replacing was a $1000 10980xe and looking at the numbers the 14900k in average is 70-77% faster than the 10980xe. the only disadvantage between the 2 was the 10980xe had 48 PCIe lanes and ran 32c to 56c hot.i can't say the same about the 14900k heat, its spreader is almost half of the 10980xe. you can't just simply add a stock cooler or a ""MC'watercooler"" and expect the problem will solve itself. this is the first CPU in my 26 yrs of building PC's you have to plan out your cooler set up.ever since a 2012 water leak from these Mc'watercoolers (all in one 2 fan radiator kits sold by name brands) Ive never trusted them cost me $1500 in damages. The only water coolers that don't leak for me were the ones i built but water cooling is expensive and you have to inspect them at least every 3 months for debris in the tank or leaks. with air i only have to clean the pc 2x a year.yes you can control temps with an air cooler, and get the same temps as a 3 fan radiator water cooler. I'll post the results without adding a watt limit in the mobo post screen.here is the parts i bought to air cool running the new cinabench 2024 for 30 mins i can get max performance on a defualt non OC not hitting above 99C on the P cores1. Noctua NH-D15 chromax.Black | Dual-Tower CPU Cooler | 140mm | Black2. Noctua NF-A15 HS-PWM chromax.Black.swap (this adds a 3rd fan for the air cooler you'll need it)3. FDXGYH 4 Pcs CPU Heatsink Fan Buckle PC Mainboard CPU Radiator Fan 12CM Wire Buckle Upper Hook Type Fixing Clip  (these buckles are compatible with noctus 140mm fans)4. Easycargo 40mm Heatsink Kit 40mmx40mmx20mm (this you place on the flat base of the noctua cooler will help dissipate heat)5. Easycargo 100pcs Heatsink Assortment Kit Small Cooler Aluminum Heat (these you throw on the back of your mobo on and around the mount brackets you'll me amazed how adding heat sinks on the back of the mobo will reduce temps)6. Thermal Grizzly Kryonaut (this is the best thermal grease cooler by 1-2c cooler than artic silver mx 6)7. Thermalright Intel 12th/13th Generation LGA1700 Anti-Bending Buckle ( a must add a little thermal grease on the cpu side flaps this buckle is 100% aluminum will al help dissipate heat.then i went to my mother board software options (mobo is an MSI MEG Z790 ACE MAX) select ""CPU cooler tuning"" select ""tower air cooling"" which will limit the wattage draw to under 300w also note if you are not using a Water Cooling Reservoir  you should also use this option, water cooling a 14900k and OC really does require a reservoir, and a 4x 120 fan size radiator if you're simply using a pre-built 2x fan radiator its not enough to handle the 14900k and the CPU is known for drawing 370w plus!!so using air cooled i got a 2371 score with no watt limiter option an temps were 78-100c on the p cores, and with the 300 watt limit the score was  2328 with temps 70-99c never hit 100c case the limiter would kick in. (note this is from CPU testing that punishes the CPU realistically i don't see this CPU going over 88c even on the most demanding game in 3 years.i personally do not recommend OC this CPU its already been pushed to its limits by INTEL at best for another 100 watts when all you're getting is 3-4 more FPS and that's not worth it. and all these people bragging a 6.2-6.5ghz OC, there just flexing for clout, then they take the CPU back to default. i already have my P cores spiking to 6.002 at 288-300 watts, and under 99c temps; adding 0.198mhz will meaning nothing for apps and gaming.personal note the MSI MEG Z790 ACE MAX Gaming Motherboard is absolutely amazing at squeezing out all the performance of the 14900k worth the $700 price never crashed during testing that 26 power phases is godly  compared to my last gen EVGA x299 dark had 12 phase...RIP EGA :(",IF YOU WANT THE AIR COOLED OPTION,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,This is something that a lot of people do not understand about processors. If you put too much voltage you are going to damage it. I want to delid it but I don't see the need and here is whyEven if I can get it 20 degrees cooler it will not matter It will still need 3.5 to 4.2 volts to stay stable at advertised speeds.I am running it @ 5.4 GHZ all P cores and this thing is unbelievably reliable . And maybe 10 seconds extra to render vs 5.7 to 6.0 GHZI get the point that ppl want to have the Bragging rights to say that it runs that fast but it will gwt damaged guaranteed 400 watts is a lot for that little unit. I think that 5.4 5.3 5.2 is more than enough specially when you have a total of 32 threads and gaming is practically single threaded . And most games are GPU bound. I only use it in the gaming department for Flight simulator and have not seen it above 68 degrees.I had a 4770 k and still running strong at 4.5 GHZ in a very small case.Intel is a beast and this I 9 is very good . Future proof for at least 5 years to come .Note. I have delided at least 20 cpus and the ones that got damaged were the ones that got a lot of voltage . They are very heat resistant but voltage just kills them .I have been running this cpu 24 /7 not an issueNot a blue screenJust underclock and undervolt and you are good to go This thing is a monster .,I MADE IT WORK,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,"So I finally upgraded my home workstation, and went to this new i9-14900K. It is incredibly fast. I had a Davinci Resolve video project file that I rendered on my old setup, the i7-6850K and it took just over 22 minutes to complete the render. On the new i9, the exact same file was re exported, took just over 8 minutes..! almost a 3x speed increase.! Also, when you speed up footage in Resolve, the old cpu could not play it back smoothly, it would jump and chug like crazy, the new i9, it plays it back sped up 800% no problems and I can actually see how it looks without having to export the entire video clip to see it playback the retimed footage smoothly. Applications open u p much faster too, but that could be more due to the pcie4.0 nvme system drive that is much faster than the previous version nvme I had in the old build. The one thing I do not like about the new cpu, is the number of pci lanes. You only get 20, 16 are pcie5.0 and 4 are pcie4.0. This wont be an issue for most people, but my old cpu had 40 lanes, allowing me to run 3 GPU's at the same time, and YES, I needed them, I use GPU rendering software that can use up to 8 GPU's in one system on one license and every additional GPU speeds up your render times a lot when rendering out 3D sims. With this new cpu, I can only run 2 GPU's and they run at 8x, cause they share the 16x, and that does leave me 4 full pcie4.0 lanes for the system drive. It is not a deal breaker, and the increased speed overall is well worth it. One thing EVERYBODY should be aware of, is these new intel chips have P cores and E cores. Something my old cpu did NOT have. E-cores can severely impact certain software performance. When I booted up the new machine and tried my Ableton DAW  for the first time, I was expecting to be so happy with a performance boost, and the software was literally almost unusable.! The E-cores were slowing the software down so bad, I could barely change settings in the preferences.! It was that bad. I had to install process lasso ( fantastic software that is free if you have never heard of it ) and disable the use of E-cores for Ableton and then it worked very fast and is great.!",Much faster than my previous i7-6850k,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,"This processor has way better memory controller then my previews 12900k for my DDR4 clocking at 3950 MHz at 15-15-15-30 timing error free. I had heard about the 14900k has crashing issues so far I have no issues with Unreal Engine 5 games, Tekken 8, Battlefield 2042, etc, etc.... My cpu is running 59 GHz all P cores @ 1.35v limited power P1 and P2 @ 253 Watts, therefore, won't over heat and degrade the  silicon of my 14900k,  55° average temperature on gaming with a good cooler MSI MEG Core Liquid S360 - AIO at full speed push and pull fans. All my games runs extremely smooth at high frame rates with no stuttering.",Outstanding Performance,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,"It's a processor. It's like any other processor that processes, only better.It destroys video editing and processor intensive brush strokes in Corel Painter. It has no problem with any kind of processing you can throw at it.Runs hot and causes the cooler to spool up when playing poorly programmed games, but the water cooler is up to the task. Still, it reveals what games are just piles of trash code.Just remember to update your BIOS because it's still a relatively new processor. And stay away from Windows 11.",Oh ya!,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,5,Even running at the default 6.1ghz turbo settings the processor is extremely unstable and causes constant crashing.  Only way to stop it is to go in bios and set the core ratio to 57 max for power cores and 43 for efficency cores. Drove me nuts trying to figure out the problem for months also buy a hefty duty power supply if you're buying a 40 series rtx graphics card constant crashing of apps and games from lack of power to the graphics card from even a 1000 watt supply,Unstable at default oc settings on asus motherboard,Pattern Name: ProcessorStyle Name: Core™ i9-14900K,en,i9 14th Gen
United States,1,"I'm a game developer and decided to switch from AMD to Intel for my latest build. The amount of problems this CPU has caused me has cost me hundreds of hours of work. I've been building computers for over 20 years and this is by far the absolute worst component of all time. E cores will cause instability in almost every multithreaded application, clocking has to be severely limited to avoid blue screen of death, Intel Extreme Tuning Utility is borderline malware, and the high thread count is just deceptive marketing because 1/3 of the cores are laptop grade. It gave the illusion of stability through the return period so I'm now stuck with a $500 paper weight CPU and motherboard.",A Carefully Engineered Nightmare,Pattern Name: ProcessorStyle Name: Core™ i9-14900KF,en,i9 14th Gen
